tactic_labels,technique_labels,sub_technology_labels,text
['TA0011'],['T1071'],['T1071.001'],"operation wocao, threat actors?? xserver tool communicated using http https."
['TA0005'],['T1140'],['T1140'],"execution, threat group-3390 malware deobfuscates decompresses code encoded metasploit??s shikata_ga_nai encoder well compressed lznt1 compression."
['TA0005'],['T1036'],['T1036.005'],"incident response, quietexit sample identified renamed blend legitimate files."
['TA0007'],['T1082'],['T1082'],"initial execution, backspace extract operating system information infected host."
"['TA0009', 'TA0006']",['T1056'],['T1056'],"normal system usage, user often provide credential various different locations, login pages/portals system dialog boxes."
['TA0042'],"['T1583', 'T1584']","['T1583.002', 'T1584.002']","post-compromise activity, adversary may utilize dns traffic various tasks, including command control (ex: application layer protocol)."
['TA0042'],['T1584'],['T1584.004'],"post-compromise activity, adversary may utilize server various tasks, including command control."
['TA0042'],['T1583'],['T1583.004'],"post-compromise activity, adversary may utilize server various tasks, watering hole operation drive-by compromise, enabling phishing operations, facilitating command control."
['TA0003'],['T1136'],['T1136.002'],"2015 ukraine electric power attack, sandworm team created privileged domain account used exploitation lateral movement."
"['TA0009', 'TA0006']",['T1056'],['T1056.001'],"2015 ukraine electric power attack, sandworm team gathered account credential via blackenergy keylogger plugin."
['TA0002'],['T1059'],['T1059.005'],"2015 ukraine electric power attack, sandworm team installed vba script called vba_macro.exe."
"['TA0001', 'TA0003']",['T1133'],['T1133'],"2015 ukraine electric power attack, sandworm team installed modified dropbear ssh client backdoor target systems."
['TA0002'],['T1204'],['T1204.002'],"2015 ukraine electric power attack, sandworm team leveraged microsoft office attachment contained malicious macro automatically executed user permitted them."
"['TA0005', 'TA0004']",['T1055'],['T1055'],"2015 ukraine electric power attack, sandworm team loaded blackenergy svchost.exe, launched iexplore.exe c2."
['TA0005'],['T1112'],['T1112'],"2015 ukraine electric power attack, sandworm team modified in-registry internet setting lower internet security launching rundll32.exe, in-turn launch malware communicates c2 server internet."
['TA0005'],['T1562'],['T1562.001'],"2015 ukraine electric power attack, sandworm team modified in-registry internet setting lower internet security."
['TA0008'],['T1570'],['T1570'],"2015 ukraine electric power attack, sandworm team moved tool laterally within corporate network ic corporate network."
['TA0001'],['T1566'],['T1566.001'],"2015 ukraine electric power attack, sandworm team obtained initial foothold many system using microsoft office attachment delivered phishing emails."
['TA0011'],['T1105'],['T1105'],"2015 ukraine electric power attack, sandworm team pushed additional malicious tool onto infected system steal user credentials, move laterally, destroy data."
['TA0007'],['T1018'],['T1018'],"2015 ukraine electric power attack, sandworm team remotely discovered system lan connections."
['TA0011'],['T1071'],['T1071.001'],"2015 ukraine electric power attack, sandworm team used blackenergy communicate compromised host command-and-control server via http post requests."
"['TA0006', 'TA0007']",['T1040'],['T1040'],"2015 ukraine electric power attack, sandworm team used blackenergy??s network sniffer module discover user credential sent network local lan power grid??s industrial control systems."
['TA0005'],['T1218'],['T1218.011'],"2015 ukraine electric power attack, sandworm team used backdoor could execute supplied dll using rundll32.exe."
"['TA0001', 'TA0005', 'TA0003', 'TA0004']",['T1078'],['T1078'],"2015 ukraine electric power attack, sandworm team used valid account corporate network escalate privileges, move laterally, establish persistence within corporate network."
['TA0005'],['T1070'],['T1070.004'],"2015 ukraine electric power attack, vba_macro.exe deletes fontcache.dat, rundll32.exe, associated .lnk file delivered."
['TA0005'],['T1036'],['T1036.005'],"2016 ukraine electric power attack, dlls ex filename associated common electric power sector protocol used masquerade files."
['TA0003'],['T1136'],['T1136'],"2016 ukraine electric power attack, sandworm team added login sql server sp_addlinkedsrvlogin."
['TA0007'],['T1018'],['T1018'],"2016 ukraine electric power attack, sandworm team checked connectivity resource within network used ldap query active directory, discovering information computer listed ad."
['TA0002'],['T1059'],['T1059.005'],"2016 ukraine electric power attack, sandworm team created vbscripts run ssh server."
"['TA0005', 'TA0003']","['T1036', 'T1136']","['T1036.010', 'T1136.002']","2016 ukraine electric power attack, sandworm team created two new accounts, ""admin"" ""????????"" (system)."
['TA0005'],['T1562'],['T1562.002'],"2016 ukraine electric power attack, sandworm team disabled event logging compromised systems."
['TA0005'],['T1036'],['T1036.008'],"2016 ukraine electric power attack, sandworm team masqueraded executables .txt files."
['TA0006'],['T1003'],['T1003.001'],"2016 ukraine electric power attack, sandworm team used mimikatz capture use legitimate credentials."
['TA0002'],['T1059'],['T1059.001'],"2016 ukraine electric power attack, sandworm team used powershell script run credential harvesting tool memory evade defenses."
['TA0005'],['T1027'],['T1027.002'],"2016 ukraine electric power attack, sandworm team used upx pack copy mimikatz."
['TA0006'],['T1110'],['T1110'],"2016 ukraine electric power attack, sandworm team used script attempt rpc authentication number hosts."
['TA0003'],['T1554'],['T1554'],"2016 ukraine electric power attack, sandworm team used trojanized version window notepad add layer persistence industroyer."
"['TA0003', 'TA0004']",['T1543'],['T1543.003'],"2016 ukraine electric power attack, sandworm team used arbitrary system service load system boot persistence industroyer."
['TA0005'],['T1027'],['T1027'],"2016 ukraine electric power attack, sandworm team used heavily obfuscated code industroyer window notepad backdoor."
['TA0008'],['T1570'],['T1570'],"2016 ukraine electric power attack, sandworm team used move transfer file network share."
"['TA0003', 'TA0004']",['T1098'],['T1098'],"2016 ukraine electric power attack, sandworm team used sp_addlinkedsrvlogin command ms-sql create link created account server network."
['TA0002'],['T1059'],['T1059.003'],"2016 ukraine electric power attack, sandworm team used xp_cmdshell command ms-sql."
['TA0003'],['T1505'],['T1505.001'],"2016 ukraine electric power attack, sandworm team used various ms-sql stored procedures."
['TA0008'],['T1021'],['T1021.002'],"2016 ukraine electric power attack, sandworm team utilized net use connect network shares."
['TA0002'],['T1047'],['T1047'],"2016 ukraine electric power attack, wmi script used remote execution system surveys."
"['TA0003', 'TA0004']",['T1543'],['T1543.002'],"2022 ukraine electric power attack, sandworm team configured systemd maintain persistence gogetter, specifying wantedby=multi-user.target configuration run gogetter system begin accepting user logins."
['TA0040'],['T1485'],['T1485'],"2022 ukraine electric power attack, sandworm team deployed caddywiper victim??s environment system wipe file related ot capabilities, along mapped drives, physical drive partitions."
['TA0011'],['T1572'],['T1572'],"2022 ukraine electric power attack, sandworm team deployed gogetter tunneler software establish ""yamux"" tls-based c2 channel external server(s)."
['TA0003'],['T1505'],['T1505.003'],"2022 ukraine electric power attack, sandworm team deployed neo-regeorg?webshell internet-facing server."
"['TA0005', 'TA0004']",['T1484'],['T1484.001'],"2022 ukraine electric power attack, sandworm team leveraged group policy object (gpos) deploy execute malware."
"['TA0002', 'TA0003', 'TA0004']",['T1053'],['T1053.005'],"2022 ukraine electric power attack, sandworm team leveraged scheduled task group policy object (gpo) execute caddywiper predetermined time."
['TA0005'],['T1036'],['T1036.004'],"2022 ukraine electric power attack, sandworm team leveraged systemd service unit masquerade gogetter malware legitimate seemingly legitimate services."
['TA0011'],['T1095'],['T1095'],"2022 ukraine electric power attack, sandworm team proxied c2 communication within tls-based tunnel."
['TA0008'],['T1570'],['T1570'],"2022 ukraine electric power attack, sandworm team used group policy object (gpo) copy caddywiper's executable msserver.exe staging server local hard drive deployment."
['TA0002'],['T1059'],['T1059.001'],"2022 ukraine electric power attack, sandworm team utilized powershell utility called tanktrap spread launch wiper using window group policy."
"['TA0003', 'TA0004']",['T1546'],['T1546.012'],"c0032 campaign, temp.veles modified added entry within hkey_local_machine\software\microsoft\windows nt\currentversion\image file execution option maintain persistence."
['TA0042'],['T1588'],['T1588.002'],"c0032 campaign, temp.veles obtained used tool mimikatz psexec."
['TA0003'],['T1505'],['T1505.003'],"c0032 campaign, temp.veles planted web shell outlook exchange servers."
['TA0008'],['T1021'],['T1021.004'],"c0032 campaign, temp.veles relied encrypted ssh-based tunnel transfer tool remote command/program execution."
['TA0005'],['T1036'],['T1036.005'],"c0032 campaign, temp.veles renamed file look like legitimate files, window update file schneider electric application files."
['TA0005'],['T1070'],['T1070.004'],"c0032 campaign, temp.veles routinely deleted tools, logs, file finished them."
['TA0006'],['T1003'],['T1003.001'],"c0032 campaign, temp.veles used mimikatz custom tool, sechack, harvest credentials."
['TA0002'],['T1059'],['T1059.001'],"c0032 campaign, temp.veles used powershell perform timestomping."
"['TA0001', 'TA0003']",['T1133'],['T1133'],"c0032 campaign, temp.veles used vpn access persist victim environment."
['TA0042'],['T1583'],['T1583.003'],"c0032 campaign, temp.veles used virtual private server (vps) infrastructure."
"['TA0001', 'TA0005', 'TA0003', 'TA0004']",['T1078'],['T1078'],"c0032 campaign, temp.veles used compromised vpn accounts."
['TA0011'],['T1572'],['T1572'],"c0032 campaign, temp.veles used encrypted ssh-based plink tunnel transfer tool enable rdp connection throughout environment."
['TA0011'],['T1571'],['T1571'],"c0032 campaign, temp.veles used port-protocol mismatch port 443, 4444, 8531, 50501 c2."
"['TA0002', 'TA0003', 'TA0004']",['T1053'],['T1053.005'],"c0032 campaign, temp.veles used scheduled task xml triggers."
['TA0009'],['T1074'],['T1074.001'],"c0032 campaign, temp.veles used staging folder infrequently used legitimate user process store data exfiltration tool deployment."
['TA0005'],['T1070'],['T1070.006'],"c0032 campaign, temp.veles used timestomping modify $standard_information attribute tools."
['TA0008'],['T1021'],['T1021.001'],"c0032 campaign, temp.veles utilized rdp throughout operation."
['TA0009'],['T1213'],['T1213'],"solarwinds compromise, apt29 accessed victims' internal knowledge repository (wikis) view sensitive corporate information products, services, internal business operations."
"['TA0003', 'TA0004']",['T1098'],['T1098.001'],"solarwinds compromise, apt29 added credential oauth application service principals."
"['TA0003', 'TA0004']",['T1098'],['T1098.002'],"solarwinds compromise, apt29 added device allowed id active sync using set-casmailbox, allowing obtain copy victim mailboxes."
['TA0006'],['T1606'],['T1606.001'],"solarwinds compromise, apt29 bypassed mfa set owa account generating cookie value previously stolen secret key."
"['TA0005', 'TA0004']",['T1484'],['T1484.002'],"solarwinds compromise, apt29 changed domain federation trust setting using azure ad administrative permission configure domain accept authorization token signed saml signing certificate."
['TA0009'],['T1114'],['T1114.002'],"solarwinds compromise, apt29 collected email specific individuals, executive staff, using new-mailboxexportrequest followed get-mailboxexportrequest."
['TA0006'],['T1606'],['T1606.002'],"solarwinds compromise, apt29 created token using compromised saml signing certificates."
['TA0011'],['T1105'],['T1105'],"solarwinds compromise, apt29 downloaded additional malware, teardrop cobalt strike, onto compromised host following initial access."
['TA0009'],['T1213'],['T1213.003'],"solarwinds compromise, apt29 downloaded source code code repositories."
['TA0010'],['T1048'],['T1048.002'],"solarwinds compromise, apt29 exfiltrated collected data simple http request password-protected archive staged victim's owa servers."
['TA0001'],['T1190'],['T1190'],"solarwinds compromise, apt29 exploited cve-2020-0688 microsoft exchange control panel regain access network."
['TA0009'],['T1005'],['T1005'],"solarwinds compromise, apt29 extracted file compromised networks."
['TA0001'],['T1199'],['T1199'],"solarwinds compromise, apt29 gained access compromised account cloud solution partners, used compromised certificate issued mimecast authenticate mimecast customer systems."
['TA0001'],['T1195'],['T1195.002'],"solarwinds compromise, apt29 gained initial network access victim via trojanized update solarwinds orion software."
"['TA0003', 'TA0004']",['T1098'],['T1098.003'],"solarwinds compromise, apt29 granted company administrator privilege newly created service principle."
['TA0005'],['T1070'],['T1070.006'],"solarwinds compromise, apt29 modified timestamps backdoor match legitimate window files."
['TA0005'],['T1036'],['T1036.004'],"solarwinds compromise, apt29 named task \microsoft\windows\softwareprotectionplatform\eventcachemanager order appear legitimate."
['TA0006'],['T1552'],['T1552.004'],"solarwinds compromise, apt29 obtained pki keys, certificate files, private encryption key active directory federation service (ad fs) container decrypt corresponding saml signing certificates."
['TA0006'],['T1558'],['T1558.003'],"solarwinds compromise, apt29 obtained ticket granting service (tgs) ticket active directory service principle name crack offline."
['TA0007'],['T1087'],['T1087'],"solarwinds compromise, apt29 obtained list user role exchange server using get-managementroleassignment."
['TA0007'],['T1083'],['T1083'],"solarwinds compromise, apt29 obtained information configured exchange virtual directory using get-webservicesvirtualdirectory."
"['TA0003', 'TA0004']",['T1098'],['T1098.005'],"solarwinds compromise, apt29 registered device order enable mailbox syncing via set-casmailbox command."
['TA0005'],['T1070'],['T1070.008'],"solarwinds compromise, apt29 removed evidence email export request using remove-mailboxexportrequest."
['TA0005'],['T1036'],['T1036.005'],"solarwinds compromise, apt29 renamed software dlls legitimate name appear benign."
['TA0005'],['T1070'],['T1070.004'],"solarwinds compromise, apt29 routinely removed tools, including custom backdoors, remote access achieved."
['TA0011'],['T1665'],['T1665'],"solarwinds compromise, apt29 set hostnames c2 infrastructure match legitimate hostnames victim environment."
['TA0009'],['T1074'],['T1074.002'],"solarwinds compromise, apt29 staged data file password-protected archive victim's owa server."
['TA0006'],['T1539'],['T1539'],"solarwinds compromise, apt29 stole chrome browser cooky copying chrome profile directory targeted users."
['TA0006'],['T1555'],['T1555.003'],"solarwinds compromise, apt29 stole users' saved password chrome."
['TA0005'],['T1070'],['T1070'],"solarwinds compromise, apt29 temporarily replaced legitimate utility own, executed payload, restored original file."
['TA0009'],['T1560'],['T1560.001'],"solarwinds compromise, apt29 used 7-zip compress stolen email password-protected archive prior exfltration; apt29 also compressed text file zipped archives."
['TA0005'],['T1140'],['T1140'],"solarwinds compromise, apt29 used 7-zip decode raindrop malware."
['TA0007'],['T1069'],['T1069.002'],"solarwinds compromise, apt29 used adfind enumerate domain groups."
['TA0007'],['T1018'],['T1018'],"solarwinds compromise, apt29 used adfind enumerate remote systems."
['TA0007'],['T1016'],['T1016.001'],"solarwinds compromise, apt29 used goldfinder perform http get request check internet connectivity identify http proxy server redirectors http request travel through."
['TA0011'],['T1071'],['T1071.001'],"solarwinds compromise, apt29 used http c2 data exfiltration."
['TA0002'],['T1059'],['T1059.001'],"solarwinds compromise, apt29 used powershell create new task remote machines, identify configuration settings, exfiltrate data, execute commands."
['TA0007'],['T1087'],['T1087.002'],"solarwinds compromise, apt29 used powershell discover domain account exectuing get-aduser get-adgroupmember."
['TA0008'],['T1021'],['T1021.001'],"solarwinds compromise, apt29 used rdp session public-facing system internal servers."
['TA0005'],['T1218'],['T1218.011'],"solarwinds compromise, apt29 used rundll32.exe execute payloads."
['TA0011'],['T1090'],['T1090.001'],"solarwinds compromise, apt29 used ssh port forwarding capability public-facing systems, configured least one instance cobalt strike use network pipe smb."
['TA0002'],['T1047'],['T1047'],"solarwinds compromise, apt29 used wmi remote execution file lateral movement."
['TA0008'],['T1021'],['T1021.006'],"solarwinds compromise, apt29 used winrm via powershell execute command payload remote hosts."
"['TA0003', 'TA0004']",['T1546'],['T1546.003'],"solarwinds compromise, apt29 used wmi event filter invoke command-line event consumer system boot time launch backdoor rundll32.exe."
"['TA0001', 'TA0005', 'TA0003', 'TA0004']",['T1078'],['T1078.004'],"solarwinds compromise, apt29 used compromised o365 administrator account create new service principal."
['TA0006'],['T1555'],['T1555'],"solarwinds compromise, apt29 used account credential obtained attempt access group managed service account (gmsa) passwords."
['TA0008'],['T1021'],['T1021.002'],"solarwinds compromise, apt29 used administrative account connect smb targeted users."
['TA0002'],['T1059'],['T1059.003'],"solarwinds compromise, apt29 used cmd.exe execute command remote machines."
"['TA0001', 'TA0005', 'TA0003', 'TA0004']",['T1078'],['T1078.003'],"solarwinds compromise, apt29 used compromised local account access victims' networks."
"['TA0005', 'TA0008']",['T1550'],['T1550.001'],"solarwinds compromise, apt29 used compromised service principal make change office 365 environment."
"['TA0001', 'TA0005', 'TA0003', 'TA0004']",['T1078'],['T1078'],"solarwinds compromise, apt29 used different compromised credential remote access move laterally."
"['TA0001', 'TA0005', 'TA0003', 'TA0004']",['T1078'],['T1078.002'],"solarwinds compromise, apt29 used domain administrators' account help facilitate lateral movement compromised networks."
['TA0011'],['T1568'],['T1568'],"solarwinds compromise, apt29 used dynamic dns resolution construct resolve randomly-generated subdomains c2."
"['TA0005', 'TA0008']",['T1550'],['T1550'],"solarwinds compromise, apt29 used forged saml token allowed actor impersonate user bypass mfa, enabling apt29 access enterprise cloud application services."
['TA0007'],['T1082'],['T1082'],"solarwinds compromise, apt29 used fsutil check available free space executing action might create large file disk."
['TA0007'],['T1057'],['T1057'],"solarwinds compromise, apt29 used multiple command-line utility enumerate running processes."
['TA0005'],['T1562'],['T1562.004'],"solarwinds compromise, apt29 used netsh configure firewall rule limited certain udp outbound packets."
['TA0006'],['T1003'],['T1003.006'],"solarwinds compromise, apt29 used privileged account replicate directory service data domain controllers."
"['TA0002', 'TA0003', 'TA0004']",['T1053'],['T1053.005'],"solarwinds compromise, apt29 used scheduler schtasks create new task remote host part lateral movement."
"['TA0005', 'TA0008']",['T1550'],['T1550.004'],"solarwinds compromise, apt29 used stolen cooky access cloud resource forged duo-sid cookie bypass mfa set email account."
['TA0007'],['T1482'],['T1482'],"solarwinds compromise, apt29 used get-accepteddomain powershell cmdlet enumerate accepted domain exchange management shell."
['TA0007'],['T1069'],['T1069'],"solarwinds compromise, apt29 used get-managementroleassignment powershell cmdlet enumerate exchange management role assignment exchange management shell."
['TA0005'],['T1562'],['T1562.001'],"solarwinds compromise, apt29 used service control manager remote system disable service associated security monitoring products."
['TA0005'],['T1553'],['T1553.002'],"solarwinds compromise, apt29 able get sunburst signed solarwinds code signing certificate injecting malware solarwinds orion software lifecycle."
['TA0005'],['T1562'],['T1562.002'],"solarwinds compromise, apt29, used auditpol prevent collection audit logs."
"['TA0005', 'TA0003', 'TA0004']",['T1574'],['T1574.002'],"t9000 installation process, drop copy legitimate microsoft binary igfxtray.exe."
"['TA0005', 'TA0003']",['T1542'],['T1542'],"booting process computer, firmware various startup service loaded operating system."
"['TA0005', 'TA0003', 'TA0004']",['T1574'],['T1574.006'],"execution preparation phase program, dynamic linker load specified absolute path shared library environment variable files, ld_preload linux dyld_insert_libraries macos."
['TA0010'],['T1041'],['T1041'],"initial pikabot command control check-in, pikabot transmit collected system information encrypted using rc4."
"['TA0005', 'TA0003', 'TA0004']",['T1574'],['T1574.005'],"installation process, common installers use subdirectory within %temp% directory unpack binary dlls, exes, payloads."
"['TA0005', 'TA0003', 'TA0006']",['T1556'],['T1556.008'],"logon process, winlogon (the interactive logon module) sends credential local mpnotify.exe process via rpc."
"['TA0003', 'TA0004']",['T1543'],['T1543.004'],"macos initialization startup, launchd process load parameter launch-on-demand system-level daemon plist file found /system/library/launchdaemons/ /library/launchdaemons/."
['TA0005'],['T1140'],['T1140'],"triage, identify source file decoded."
"['TA0003', 'TA0004']",['T1547'],['T1547.001'],dustysky achieves persistence creating registry entry hkcu\software\microsoft\windows\currentversion\run.
['TA0009'],['T1560'],['T1560.001'],dustysky compress file via rar staging data exfiltrated.
['TA0005'],['T1070'],['T1070.004'],dustysky delete file creates infected system.
['TA0007'],['T1120'],['T1120'],dustysky detect connected usb devices.
['TA0009'],['T1113'],['T1113'],dustysky capture png screenshots main screen.
['TA0007'],['T1518'],['T1518.001'],dustysky check existence anti-virus.
['TA0007'],['T1057'],['T1057'],dustysky collect information running process victims.
"['TA0009', 'TA0006']",['T1056'],['T1056.001'],dustysky contains keylogger.
['TA0009'],['T1074'],['T1074.001'],dustysky created folder temp directory host collected file exfiltration.
['TA0007'],['T1082'],['T1082'],dustysky extract basic information operating system.
['TA0010'],['T1041'],['T1041'],dustysky exfiltrated data c2 server.
['TA0011'],['T1008'],['T1008'],"dustysky two hard-coded domain c2 servers; first respond, try second."
['TA0011'],['T1071'],['T1071.001'],dustysky used http http c2.
['TA0007'],['T1518'],['T1518'],dustysky list installed software infected machine.
['TA0007'],['T1083'],['T1083'],"dustysky scan victim file contain certain keywords document type including pdf, doc, docx, xls, xlsx, list obtained c2 text file."
['TA0008'],['T1570'],['T1570'],dustysky search network drive removable medium duplicate onto them.
"['TA0001', 'TA0008']",['T1091'],['T1091'],dustysky search removable medium duplicate onto it.
"['TA0005', 'TA0003', 'TA0004']",['T1574'],['T1574.004'],dylibs loaded application's address space allowing malicious dylib inherit application's privilege level resources.
['TA0005'],['T1027'],['T1027'],dynamic malware analysis may also expose sign code obfuscation.
['TA0005'],['T1027'],['T1027.007'],"dynamic malware analysis may also expose sign function obfuscation, memory read correspond address api function code within modules."
"['TA0005', 'TA0006', 'TA0007']","['T1007', 'T1518', 'T1112', 'T1069', 'T1010', 'T1003']","['T1007', 'T1069.002', 'T1112', 'T1518.001', 'T1069.001', 'T1010', 'T1003.001']","dynamic malware analysis tool (, sandboxes) used trace execution, including o api calls, single pe binary."
"['TA0003', 'TA0004']",['T1546'],['T1546.009'],"dynamic-link library (dlls) specified appcertdlls registry key hkey_local_machine\system\currentcontrolset\control\session manager\ loaded every process call ubiquitously used application programming interface (api) function createprocess, createprocessasuser, createprocesswithloginw, createprocesswithtokenw, winexec."
"['TA0003', 'TA0004']",['T1546'],['T1546.010'],dynamic-link library (dlls) specified appinit_dlls value registry key hkey_local_machine\software\microsoft\windows nt\currentversion\windows hkey_local_machine\software\wow6432node\microsoft\windows nt\currentversion\windows loaded user32.dll every process load user32.dll.
"['TA0005', 'TA0007']",['T1497'],['T1497.001'],dyre detect sandbox analysis environment inspecting process list registry.
['TA0005'],['T1140'],['T1140'],dyre decrypts resource needed targeting victim.
['TA0011'],['T1105'],['T1105'],dyre command download executes additional files.
['TA0005'],['T1027'],['T1027.002'],dyre delivered encrypted resource must unpacked execution.
"['TA0002', 'TA0003', 'TA0004']",['T1053'],['T1053.005'],dyre ability achieve persistence adding new task task scheduler run every minute.
['TA0009'],['T1074'],['T1074.001'],dyre ability create file temp folder act database store information.
"['TA0005', 'TA0004']",['T1055'],['T1055'],dyre ability directly inject code web browser process.
['TA0007'],['T1518'],['T1518'],dyre ability identify installed program compromised host.
['TA0007'],['T1016'],['T1016'],dyre ability identify network setting compromised host.
['TA0007'],['T1007'],['T1007'],dyre ability identify running service compromised host.
['TA0007'],['T1082'],['T1082'],"dyre ability identify computer name, o version, hardware configuration compromised host."
['TA0007'],['T1033'],['T1033'],dyre ability identify user compromised host.
['TA0010'],['T1041'],['T1041'],dyre ability send information staged compromised host externally c2.
"['TA0005', 'TA0004']",['T1055'],['T1055.001'],dyre injects process load modules.
"['TA0003', 'TA0004']",['T1543'],['T1543.003'],dyre register service adding several registry keys.
['TA0011'],['T1071'],['T1071.001'],dyre us http c2 communications.
"['TA0009', 'TA0006']",['T1056'],['T1056.001'],eccentricbandwagon capture store keystrokes.
['TA0009'],['T1113'],['T1113'],eccentricbandwagon capture screenshots store locally.
['TA0005'],['T1070'],['T1070.004'],eccentricbandwagon delete log file generated malware stored c:\windows\temp\tmp0207.
['TA0002'],['T1059'],['T1059.003'],eccentricbandwagon use cmd execute command victim??s machine.
['TA0005'],['T1027'],['T1027'],eccentricbandwagon encrypted string rc4.
['TA0009'],['T1074'],['T1074.001'],"eccentricbandwagon stored keystroke screenshots within %temp%\googlechrome, %temp%\downloads, %temp%\trendmicroupdate directories."
['TA0007'],['T1016'],['T1016'],ekans determine domain compromised host.
['TA0002'],['T1047'],['T1047'],ekans use window mangement instrumentation (wmi) call execute operations.
['TA0005'],['T1036'],['T1036.005'],ekans disguised update.exe appear valid executable.
['TA0007'],['T1057'],['T1057'],ekans look process hard-coded list.
['TA0040'],['T1490'],['T1490'],ekans remove backup volume shadow copy disable restoration capabilities.
['TA0040'],['T1489'],['T1489'],"ekans stop database, data backup solution, antivirus, ics-related processes."
['TA0005'],['T1562'],['T1562.001'],ekans stop process related security management software.
['TA0005'],['T1027'],['T1027'],ekans us encoded string process kill list.
['TA0040'],['T1486'],['T1486'],ekans us standard encryption library function encrypt files.
['TA0007'],['T1083'],['T1083'],elmer capable performing directory listings.
['TA0007'],['T1057'],['T1057'],elmer capable performing process listings.
['TA0011'],['T1071'],['T1071.001'],elmer us http command control.
['TA0005'],['T1562'],['T1562.006'],"etw interruption achieved multiple ways, however directly defining condition using powershell set-etwtraceprovider cmdlet interfacing directly registry make alterations."
"['TA0003', 'TA0004']",['T1547'],['T1547.001'],evilnum achieve persistence registry run key.
['TA0011'],['T1105'],['T1105'],evilnum download upload file victim's computer.
['TA0005'],['T1218'],['T1218.011'],evilnum execute command script rundll32.
['TA0006'],['T1539'],['T1539'],evilnum harvest cooky upload c2 server.
['TA0005'],['T1112'],['T1112'],evilnum make modification regsitry persistence.
['TA0007'],['T1082'],['T1082'],evilnum obtain computer name victim's system.
['TA0007'],['T1033'],['T1033'],evilnum obtain username victim's machine.
['TA0005'],['T1218'],['T1218.010'],evilnum run remote scriptlet drop file executes via regsvr32.exe.
['TA0007'],['T1518'],['T1518.001'],evilnum search anti-virus product system.
['TA0010'],['T1041'],['T1041'],evilnum upload file c2 channel infected host.
['TA0005'],['T1070'],['T1070'],"evilnum function called ""deleteleftovers"" remove certain artifact attack."
['TA0005'],['T1070'],['T1070.006'],evilnum changed creation date files.
['TA0011'],['T1102'],['T1102.003'],evilnum used one-way communication method via gitlab digital point perform c2.
['TA0002'],['T1047'],['T1047'],evilnum used window management instrumentation (wmi) tool enumerate infected machines.
['TA0011'],['T1219'],['T1219'],"evilnum used malware variant, terratv, run legitimate teamviewer application connect compromrised machines."
"['TA0005', 'TA0004']",['T1055'],['T1055.011'],ewm injection method executing arbitrary code address space separate live process.
['TA0042'],['T1608'],['T1608.001'],"exotic lily uploaded malicious payload file-sharing service including transfernow, transferxl, wetransfer, onedrive."
['TA0001'],['T1566'],['T1566.001'],exotic lily conducted e-mail thread-hijacking campaign malicious iso attachments.
['TA0043'],['T1593'],['T1593.001'],exotic lily copied data social medium site impersonate targeted individuals.
['TA0042'],['T1585'],['T1585.002'],exotic lily created e-mail account spoof targeted organizations.
['TA0042'],['T1585'],['T1585.001'],exotic lily established social medium profile mimic employee targeted companies.
['TA0002'],['T1204'],['T1204.002'],"exotic lily gained execution victim clicking malicious lnk file contained within iso files, execute hidden dlls within iso."
['TA0043'],['T1589'],['T1589.002'],exotic lily gathered targeted individuals' e-mail address open source research website contact forms.
['TA0042'],['T1583'],['T1583.001'],"exotic lily registered domain spoof targeted organization changing top-level domain (tld) "".us"", "".co"" "".biz""."
['TA0001'],['T1566'],['T1566.002'],exotic lily relied victim open malicious link e-mail execution.
['TA0043'],['T1597'],['T1597'],exotic lily searched information targeted individual business database including rocketreach crunchbase.
['TA0043'],['T1594'],['T1594'],exotic lily used contact form victim website generate phishing e-mails.
['TA0011'],['T1102'],['T1102'],"exotic lily used file-sharing service including wetransfer, transfernow, onedrive deliver payloads."
['TA0002'],['T1203'],['T1203'],exotic lily used malicious document containing exploit cve-2021-40444 affecting microsoft mshtml.
['TA0002'],['T1204'],['T1204.001'],exotic lily used malicious link lure user executing malicious payloads.
['TA0001'],['T1566'],['T1566.003'],exotic lily used e-mail notification feature legitimate file sharing service spearphishing.
"['TA0002', 'TA0003', 'TA0004']",['T1053'],['T1053.006'],".timer file must corresponding .service file name, , example.timer example.service."
['TA0008'],['T1021'],['T1021.006'],"http(s) request uri ""/wsman"" called, information set headers."
['TA0009'],['T1602'],['T1602.001'],"oid identifies variable read set permit active management tasks, configuration changes, remote modification variables."
['TA0010'],['T1048'],['T1048.002'],end communication channel requires private key (only procession entity) public key entity.
['TA0005'],['T1553'],['T1553.001'],"event contains corresponding uuid, timestamp, application, gatekeeper score, decision allowed."
['TA0011'],['T1001'],['T1001.001'],"implant given ""junk length"" value created, tracked controller software allow seamless communication prevent analysis command protocol wire."
['TA0005'],['T1564'],['T1564.007'],module stream performancecache store separate compiled version vba source code known p-code.
"['TA0005', 'TA0004']",['T1055'],['T1055.009'],"running process directory, includes memory mappings."
['TA0011'],['T1573'],['T1573.001'],earlier pikabot variant use custom encryption procedure leveraging multiple mechanism including aes multiple round base64 encoding command control communication.
['TA0002'],['T1059'],['T1059.001'],earlier version powershell many logging features.
['TA0002'],['T1204'],['T1204.001'],earth lusca sent spearphishing email required user click malicious link subsequently open decoy document malicious loader.
['TA0011'],['T1090'],['T1090'],earth lusca adopted cloudflare proxy compromised servers.
['TA0007'],['T1033'],['T1033'],earth lusca collected information user account via whoami command.
